name,x,y
sign,0.0879,0.2114
flower_1,0.207,-0.5249
small_tree_1,0.8857,0.167
street_sign_1,-0.4336,-0.1035
tree_1,-0.3926,0.5293
lamp_1,0.5576,0.064
street_sign_2,0.1016,-0.0498
bin_1,-0.7549,0.2266
lilypads_1,0.188,-0.3306
old_person,-0.498,-0.3115
tree_3,-0.859375,-0.6669922
butterfly,-0.6162,-0.748
ice_cream_trolly,-0.3091,-0.6606
ice_cream_trolley,-0.3369,-0.8105
ice_cream_guy,-0.2129,-0.8228
lilypads_2,-0.2119,0.0933
bush_2,-0.6069,-0.1782
photographer,0.3936,-0.5581
bench_1,0.6284,-0.4062
airplane,0.4971,0.9131
lamp_2,0.916,0.4688
tree_2,0.671875,-0.9589844
lamp_3,-0.8652,0.4316
lamp_4,0.1631,0.6064
car,-0.5786,0.9136
dog,-0.8652,0.064
bench_4,-0.7324,-0.0435
girl,-0.6934,-0.0127
bin_2,-0.1885,-0.4194
guard_1,0.1787,-0.7808
flower_2,0.0366,0.8208
bush_3,0.4873,-0.2246
bin_3,-0.0513,0.0273
tree_funny,-0.0166,-0.5762
bin_3 (2),0.4502,-0.0234
bike,0.291,0.1763
tree_4,0.8857422,-0.2373047
bench_2,-0.1284,0.2324
bush_1,-0.7476,-0.8965
bench_3,-0.3018,0.8721
fountain,0.6172,0.5254
guard_2,0.3804,0.3872
watcher,-0.5444,0.1479
tourist,0.2534,0.5688
street_sign_3,-0.104,0.772
vending_machine_1,0.0405,0.5376
funny_plant,-0.4976,0.3657
rock,0.3052,-0.1348
kid,0.3008,0.8262
vending_machine,0.7153,0.2295
tree_5,-0.8339844,1.011719
bridge,-0.1089,-0.1978
statue,0.6157,0.7764
bigger_bush,-0.6973,0.4834
twig,0.3052,-0.8721
weird_tree,0.796875,0.9111328
