name,x,y
ball,0.1509,0.147
popcorn,-0.5166,-0.4824
shoe,-0.0894,0.4673
flower,0.8662,0.9395508
man16,0.1162,0.021
man6,-0.5396,0.6758
man19,0.9482,0.7329
trumpet,-0.6304,0.8066
clock_reuse,0.752,0.8086
trashcan2_reuse,0.7607,-0.5767
man21,0.3965,-0.9126
cup,0.6357,0.2563
flag2,0.0737,0.728
man25,-0.1831,0.6992
bottle,0.1108,0.3921
man9,-0.689,0.7534
phone_reuse,0.9219,-0.4331
star cup,-0.1104,-0.2339
man11,-0.3594,-0.2754
cloud1,-0.0918,0.9292
man22,0.6187,-0.9326
light1_reuse,0.5562,0.8281
man18,-0.7129,-0.0195
doctor,-0.8525,-0.3213
man17,0.415,-0.0854
beer1_reuse,-0.4971,-0.0547
meneat_reuse,-0.7095,0.5107
energy,-0.6284,-0.3262
headphone,0.1343,-0.291
chair,-0.8491,-0.9106
man4,0.0581,-0.7085
lights,-0.2959,0.7671
man24,-0.4189,-0.8306
man23,-0.2202,-0.8384
man13,-0.917,0.1016
star1,0.4214,0.9468
bag,-0.3071,0.1157
man8,-0.5913,0.4272
doctorbag,-0.9175,-0.4189
camera1,-0.7388,-0.7319
banners2_reuse,-0.7890625,0.8782226
man7,-0.8628,0.4941
cloud2,-0.4751,0.9297
flag1,-0.4292,0.8198
man20,-0.8164,-0.791
man2,0.3311,-0.5166
music,-0.1143,0.8516
man5,-0.4551,0.4927
kid1_reuse,-0.7441,0.2881
bottle-box,-0.4302,0.2388
bottles,-0.312,0.3857
banner,0.4453,-0.6929
camera2,-0.1182,0.7095
flying,0.8271484,-0.7412109
hat_reuse,0.7905,0.5444
heart,0.6401,0.9561
man12,0.5376,0.5747
star_reuse,0.1016,0.5625
firework,0.8994,0.1274
shirt,0.5654,-0.3975
balls,-0.9165,-0.562
pizza,-0.061,-0.4956
cat,0.9185,0.4219
man14,0.4053,0.1543
man10,-0.2749,-0.2959
man15,-0.0039,0.6494
board,-0.7402,0.1196
light4_reuse,0.3135,0.8325
man3,-0.1216,0.2427
man1,0.8198,-0.2227
