name,x,y
cat1,0.8906,0.5474
window3,-0.4888,0.1074
chair2,0.3232,0.8052
car1,0.3647,-0.2153
door2,0.5332,0.2568
banana_reuse,-0.5811,-0.6909
trumpet_reuse,0.5249,0.6279
chair1,-0.3252,-0.3042
cat11,-0.5317,-0.8433
cat14,0.2153,0.8589
cat9,0.5156,0.1284
cat18,0.8716,-0.1733
piano,0.416,0.8691
tie1,-0.8799,-0.8066
window6,-0.104,0.5527
window4,0.1646,0.3999
window1,-0.5859,0.645
door3,-0.7769,-0.0103
plant3,-0.2012,-0.0908
plant4,-0.6392,-0.5142
umbrella,0.9062,-0.8369
window2,0.3784,0.1855
bell_reuse,-0.4248,0.2588
telephone,-0.1484,0.2778
fish1,-0.6777,0.9165
neckle,-0.064,-0.9209
curtain1,0.7681,-0.4067
cat13,0.1011,0.7798
plant1,0.5127,0.4482
cat2,0.5278,-0.8193
music_reuse,0.6885,0.8672
horse,0.0288,-0.3706
cat7,0.3433,-0.5078
cat5,0.8218,0.3633
brid7_reuse,-0.7207,-0.9229
cat3,-0.1577,0.9258
column3,-0.7705,0.4023
cat17,0.8091,-0.5205
window7,0.3335,0.4136
firehydrant2_reuse,-0.7847,-0.6069
girl1,0.1953,-0.0391
column1,-0.9126,-0.2939
cat12,0.356,0.7085
lamp2_reuse,-0.0078,0.0112
cat4,-0.8857,0.6108
chimney1,0.1895,-0.8281
towel1,0.9478,-0.1538
man1,-0.2026,-0.4443
girl2,0.8247,0.0503
chimmey2,-0.5576,0.8721
guitar,0.1562,0.7646
towel2,0.8013,-0.0659
cat10,-0.7808,0.709
light1,-0.2505,0.3975
plant2,0.2295,0.6108
clock,0.9653,0.8091
cat8,0.5781,-0.5166
man2,0.4019,0.0103
plant5,0.9702,-0.5728
toy2,-0.4287,-0.502
light2,-0.9097,-0.5322
can,0.3267,0.3242
cat6,-0.5771,0.7793
cat16,0.312,-0.7129
toy1,-0.2979,0.792
plant1 copy,-0.1221,0.457
window5,0.6885,0.6172
fish_reuse,-0.9194,0.7583
book_reuse,-0.3359,-0.897
trashcan2_reuse,0.0967,0.0898
column2,-0.4956,-0.2051
cat15,0.3228,0.8882
door1,-0.3735,0.4961
ladder_reuse,0.7383,-0.9116
smoke,-0.0718,-0.6318
fish2,-0.854,0.9038
bag1,0.0596,-0.0781
