name,x,y
chair,0.0699,-0.5
phao3,0.4473,-0.3781
girl5,0.5437,-0.7809
mat4,-0.798,-0.1551
paper,-0.1453,-0.1879
kid,0.3918,-0.1789
teamilk,-0.7945,-0.1949
trashcan2,-0.7426,0.0926
speaker3,0.2922,0.0535
girldance2,-0.8426,-0.768
mat3,-0.5402,-0.5
ballon,0.6043,0.2707
boysit3,-0.257,-0.2555
tree,-0.7957,0.5156
bubble2,-0.5578,-0.857
mat2,-0.2078,-0.7676
chair2,0.3176,-0.4766
star,0.7289,0.2938
cloud6,-0.5008,0.6613
boysit,0.0484,-0.4051
shoes (2),0.5598,-0.0691
mandance2,0.8788999,-0.6934
star4,0.4594,0.7281
music,-0.5898,0.3863
mat,0.727,-0.3187
icon2,0.2871,0.6637
hat,0.3109,0.1691
DJ,-0.3363,0.3898
flower8,-0.9351999,-0.5687
girlsit (2),0.2699,-0.3902
DJtable,-0.3375,0.259
girlsit2,0.6852,-0.1621
flower4,-0.3363,0.6246
apple,0.593,0.0574
girl,-0.5137,-0.057
moon,0.4453,0.8988
cake,-0.7457,-0.3301
icon3,-0.1883,0.8629
drop,0.432,0.466
bird8,-0.6039,0.816
ballon (2),-0.4906,0.9007999
cat,-0.7242,-0.9132999
girl3,-0.8820001,-0.3711
chick3,0.7906,-0.0508
money,0.0777,-0.7055
tree2,0.7758,0.4703
girl2,-0.0938,-0.8335999
glasses,-0.8816,0.0277
speaker2,0.3168,0.3312
speaker,-0.6316,0.1836
cloud5,-0.8406,0.8988
singer,0.1383,0.1664
record,0.1648,0.3527
cup,0.7273,-0.9132999
book,0.1961,-0.3246
heart,0.3043,0.8738
pillow,-0.6418,-0.4766
icon5,-0.3914,-0.0422
90s,0.0074,0.7113
girlpicnic,-0.3246,-0.8324
mic2,-0.0355,0.102
light,0.1582,0.5449
shoes,0.0809,-0.8977
drum2,-0.1148,0.4125
man2,0.2789,-0.7785
bag4,-0.4559,-0.75
boysit2,0.7457,-0.4008
mic,0.102,0.1262
icon1,0.1801,0.7355
bush2,0.8578,0.1918
basket,-0.3805,-0.3965
drum,-0.0094,0.3645
flower5,0.3465,0.5516
book (2),-0.0723,-0.6844
flower2,0.1094,0.8949
flower,-0.2391,0.6582
shoe,0.9156,-0.4562
flower6,0.0289,-0.1789
sign,0.1637,-0.1641
cola,-0.6797,-0.6914
heart2,0.5152,0.5039
dog,0.7125,-0.723
bubble3,-0.2766,0.093
singer2,-0.1187,0.1309
girl7,-0.7414,-0.0746
bush,-0.875,0.2422
drummer2,0.4457,0.0848
star5,-0.3484,0.8504
girlsit,-0.2078,-0.6246
icon4,0.3715,-0.6426
star (2),0.5563,0.9027001
girlbean,-0.5457,-0.4543
bag5,0.5445,-0.516
flower3,0.9020001,0.1016
cloud7,0.8223001,0.8738
icon6,0.5734,0.7219
bubble1,0.9113,-0.0223
bush8,0.6586,0.1652
coca2,0.4797,-0.1551
coca,0.8805,-0.1676
girl6,-0.0816,-0.3191
