name,x,y
girl3,0.0469,-0.0479
chair4,-0.0039,-0.4858
speaker4,0.8589,0.1348
record,-0.1885,0.2612
mandance2,-0.3564,0.1616
man,-0.6616,-0.8564
speaker2,-0.3857,0.8945
airplane_reuse,0.2417,-0.041
trashcan_reuse,0.4609,0.2876
girldrink,0.6201,0.23
light 2,-0.4399,0.5142
table2 copy,-0.0938,-0.4434
gitar,-0.2305,0.4888
lamp1,0.078125,0.9013672
chair5 (2),0.0703,-0.3696
boundary2,-0.8384,0.1099
wallet_reuse,0.9175,-0.6465
lantern2_reuse,0.8862,0.4375
light,0.7349,0.8813
recordbox,0.4272,0.4561
beanchair,0.48,-0.7666
DJ,0.0073,0.5674
star2,-0.3384,0.7241
beerboard,-0.5615,0.8145
cupshelf2,-0.8896,0.7446
girl2,-0.3809,-0.7192
star3,0.2305,0.9009
star5,-0.1543,0.7271
speaker3,-0.8647,-0.1992
bar,-0.7202,0.418
chair4 (2),0.5752,-0.313
girl,-0.5835,0.0225
ball_reuse,0.625,-0.0078
drink,-0.7598,0.5708
drink3,-0.1353,-0.3076
table2 copy (2),0.4912,-0.2627
beanchair2,0.8071,-0.8022
menu,-0.8896,0.8994
man2,-0.6387,-0.5366
wineboard,0.917,0.8213
cup1,-0.0781,-0.3242
bag,-0.2515,-0.5879
chair3,-0.5752,0.3452
discoball,-0.0845,0.9009
star,0.4717,0.7573
chair,-0.916,0.2837
girldance4,0.875,-0.3691
girldance,-0.0425,-0.7856
beerbox,0.8638,-0.1021
DJtable,0.0059,0.4038
girldance2,0.4497,-0.4541
chair2,-0.7461,0.3081
speaker,0.2471,0.4175
drink2,-0.875,0.5537
girl5,0.4302,0.0161
mandrink,-0.5752,0.4463
beerbox2,-0.8765,-0.478
plant1,-0.896,-0.8906
boydance,0.1816,-0.6953
dog_reuse,-0.5479,-0.2881
mandance3,-0.3086,-0.2456
cocktail,-0.7168,0.8042
girlbean,0.4868,-0.7798
umbrela_reuse,-0.7891,0.0894
beanchair3,0.6909,-0.5356
cupshelf,-0.8853,0.6592
star4,0.4873,0.8975
boundary,0.1606,0.2671
phone,-0.8091,-0.752
chair5,-0.4229,-0.4536
girldance3,0.6841,-0.2568
girl4,0.2378,-0.2798
boy,-0.1201,0.0693
