name,x,y
umbrela,0.7121,0.1418
bag4,0.1508,-0.8594
punching_bag,0.5777,0.2172
boy6,-0.223,-0.7055
lamp5,0.6742,0.8793
towel5,-0.1352,-0.0234
bottle2,-0.0828,-0.9016
punching_bag3,-0.0234,0.807
plant3,-0.9152001,-0.2219
trashcan2,0.9344,-0.4238
boy4,0.4453,-0.7316
bag (2),-0.0117,-0.0852
pic,0.3055,0.7664
plant3 (2),0.9113,-0.2262
ball1,-0.7043,-0.8277
banana,0.2414,-0.1738
boy3,0.425,0.2004
stair,0.2008,-0.0535
clock,0.8663999,0.8887
shelf2,-0.5316,0.7453
shoes,0.7699,-0.9172
girl2,-0.8008,-0.5027
tako,0.3773,-0.002
window,-0.8038999,0.5352
punching_bag4,0.8535,0.1195
cat,-0.0437,-0.5273
pic (2),-0.1539,0.7203
rope,-0.7012,-0.316
chair,0.5398,-0.1605
dumpbell,0.8387,-0.5324
hanger,0.6906,0.573
window2,-0.4367,0.5461
girl4,0.1879,-0.6039
boy9,0.0832,-0.2824
belt,-0.8801001,0.8984
gym,-0.2211,0.8444999
weight,-0.6156,-0.4305
mat,0.5629,-0.8594
boxring,-0.5855,-0.0082
boy2,-0.1672,0.2191
bug 4,0.2957,-0.9266
boxring3,-0.1375,0.1078
towel4,-0.573,0.7746
cup (2),-0.7391,0.9069999
shelf,-0.8098,0.8375
boy8,-0.3207,-0.0363
chair1,-0.4914,-0.2863
orange,-0.3473,-0.3742
bag,0.6164,-0.0961
mat2,0.6629,-0.4949
water,-0.9148,0.0164
sign2,-0.932,-0.7266
towel2,0.677,0.5344
boy5,-0.4184,-0.6098
cup,-0.4984,-0.2023
rope2,0.2605,0.5188
boxring2,0.2957,0.1258
boy7,0.4512,-0.0855
chair2,-0.6367,-0.223
apple,-0.6379,-0.1441
trashcan_reuse,-0.7797,-0.0363
clock2,0.225,0.0945
pic2,0.4211,0.573
dumpbell3 (2),-0.1078,-0.3051
tire2,0.8105,-0.725
wallet,0.6973,-0.5094
girl,0.6152,-0.7867
paper,-0.4637,-0.0348
punching_bag2,0.0984,0.8198999
water (2),-0.2566,-0.3598
spider,0.8781,0.752
dumpbell3,-0.3945,-0.9148
dumpbell2,0.5785,-0.318
glover2,0.0672,0.1281
water2,-0.7797,-0.1941
phone,0.791,-0.1172
towel3,-0.4844,0.7902
plant,-0.9082001,-0.8766001
airplane,0.5207,0.7172
tire,0.8965,-0.6516
boy1,-0.3488,0.2773
glove,-0.1051,0.5199
protein,0.7766,-0.2805
round,0.2605,0.2676
air_con,-0.4734,0.9199001
plant3 (3),0.9168,-0.8344
lamp4,0.4117,0.9031
ladder,0.1262,0.4809
lantern2,-0.8309,0.7641
ball,0.7914,0.025
towel,0.143,0.4793
chair3,0.4344,-0.452
rope2 (2),0.3191,0.4613
dumpbell2 (2),0.293,-0.2953
helmet,-0.6027,0.1988
ball2,-0.5703,-0.8972999
