name,x,y
water_pole,0.1762,0.4777
Crossroad,-0.5859,-0.1637
car1,-0.4602,0.3324
water,-0.4871,-0.7746
sign5,0.652,0.8539001
phone,-0.7637,0.5344
bee,0.2762,-0.5555
van,-0.1699,-0.1727
seward,0.2418,-0.0199
exit,0.9191,0.9344
moto,0.0832,-0.3762
tree,0.8574001,-0.7836
sign2,-0.4867,0.9152001
boy2 (2),-0.8859,-0.3512
flower,-0.5664,-0.9004
lamp2,-0.9336001,0.6105
car4,0.6863,0.275
traffic_light (2),0.073,0.6105
car2,-0.7891,-0.0781
sign,-0.1918,0.9238
hotdog,-0.0086,0.5477
girl2,0.5723,-0.8117
pic2,0.2051,0.7398
door (3),-0.9082001,0.7707
leaf5,0.223,-0.9012
car5,-0.0102,0.2941
manndog,-0.8820001,-0.7797
box3,0.6695,-0.6574
dog2,-0.7504,-0.8492001
telephone,-0.709,-0.5555
window2,-0.0543,0.7395
car,0.4535,-0.1055
bird,0.7934,-0.6434
boy,0.6055,-0.4258
girl,0.3926,-0.7336
ball,0.9086,0.4492
car3,0.2152,0.1437
book,0.4109,-0.9176
side_walk_fence,0.8738,-0.2773
door (2),-0.1855,0.6734
lamp,0.9301001,-0.3211
bird (3),-0.216,-0.4055
window,-0.748,0.866
man (2),-0.0551,0.4379
tree (2),0.8367001,0.709
taxi,0.6461,0.1383
dog,0.8867,-0.9391001
manwalk,-0.4484,0.0914
man2,-0.2203,-0.6574
spider,0.7352,-0.9012
window (2),-0.3301,0.7395
banner2,0.4781,0.9113
boywalk,-0.4922,-0.1961
door,0.4816,0.6961
car6,0.0625,-0.7914
sign5 (2),-0.5184,-0.3914
traffic_light,0.4293,-0.4066
suitcase,0.2309,0.2754
butterfly,-0.6176,0.8777
bike,0.8574001,-0.0523
mouse,-0.277,-0.8906
fan,0.5418,0.4828
trashcan2 (2),-0.6586,0.4824
sign3,0.3273,-0.6719
fence,-0.7008,0.6652
man,-0.4938,-0.5785
manrun,-0.502,0.5844
boy2,0.2695,0.5914
car_21,-0.7992,0.182
cup,0.7102,-0.482
mushroom3,0.8758,0.5895
flower5,-0.8918,-0.5719
leaf4,-0.4875,0.7598
orange,-0.0426,-0.0031
girl5,-0.3199,0.5422
wallet,-0.6941,-0.325
plant4,-0.1953,0.4945
sign6,0.3273,0.7812
girl_bike,-0.2223,0.1387
money,-0.3566,-0.4414
airplane,0.0922,0.9007999
sign4,0.7969,0.4074
police,0.3949,0.4156
banana,-0.0414,0.1504
girl4,0.6906,0.5188
foodbag,0.041,-0.6348
bird (2),0.8211001,0.8960999
ballon,0.0828,-0.0102
leaf2,-0.9082001,-0.9152001
flower (2),0.8187,-0.4258
clock,0.2437,0.8996
paper,0.3312,-0.3285
bycicle,-0.8117,0.4172
trashcan2,0.916,-0.5777
bow,0.6547,0.6625
foodbag2,-0.5238,-0.1719
