name,x,y
candle3,0.9488,-0.2137
chair4,-0.6836,-0.2793
butterfly,0.4543,0.4137
star7,-0.6969,0.9121
girl8,0.8602,-0.791
phao2,0.3238,0.4961
star,0.8031,0.9012
flower5,-0.2223,-0.2984
girl2,-0.1129,-0.3293
candy_box,0.1789,0.1234
decor3,-0.4328,0.3422
phone,-0.7762,-0.1594
hat4,0.8715,-0.316
chair2,-0.3656,-0.5637
present2,0.2047,0.2457
ballon3,0.7059,-0.55
candle,0.3898,0.2375
flower_door,-0.5086,0.05119999
beerbox,-0.0184,-0.9074
table2,-0.4973,-0.3707
gift,0.8484,-0.1316
lamp,0.059,0.8707
lamp3,0.4371,0.8551
chair3,-0.0961,-0.7691
girl5,0.4965,-0.7953
paper,0.573,-0.5965
singer,-0.5316,-0.073
flower4,-0.6168,0.1406
speaker2 (2),0.9176,-0.5188
recordbox,-0.0285,-0.1867
ballon5,-0.3316,-0.2422
table3,-0.2645,-0.8543
bow,0.0102,0.6297
book,0.5398,-0.4918
ballon,0.6941,0.141
girlsit,0.8679999,0.1539
boy3,-0.8031,-0.4477
ball,0.4652,0.5996
boy2,-0.0527,0.2371
ball2,0.5359,0.5633
staff2,0.0816,-0.7371
bigtable,0.4023,-0.2387
speaker2,0.5758,0.2715
cups,-0.252,-0.7281
decor2,-0.0488,-0.509
girl3 (2),0.1719,-0.3422
speaker,-0.909,-0.275
table,-0.7137,-0.7387
girl3,0.0625,0.0387
boy3 (2),0.0898,-0.2379
cup2,0.5535,-0.1383
discoball,-0.866,0.3301
ballon2,0.6238,-0.4391
flag2,0.6586,-0.8145
cup,0.1551,-0.8902
hat,0.4648,-0.6559
bird,0.6973,-0.1168
goal,-0.3094,0.3777
decor4,-0.2121,-0.1746
chair,-0.5062,-0.8922
drink,0.132,-0.7098
crown,-0.4348,-0.277
candle2,-0.5762,-0.2277
hat5,0.8426,0.3977
girl7,0.4039,-0.5016
girl4,0.2766,-0.8430001
flower3,0.0559,0.2375
bag2,-0.6602,-0.4777
staff,0.2156,-0.5871
girl6,-0.3844,-0.7652
apple (2),-0.6684,-0.6465
lamp2,-0.6027,0.8543
girlsit2,-0.3316,-0.5406
wine,0.4781,-0.1215
ballon4,-0.7074,0.1488
phao4,-0.1055,0.4328
banner,0.727,0.5996
lightstick2,-0.6715,-0.8906
cake,0.3449,-0.1059
score,-0.8051001,0.5137
boy,-0.1391,-0.7422
star (2),-0.5324,-0.6051
banner3,-0.8663999,0.7883
mask,0.5641,0.041
apple,0.107,-0.4777
hat6,-0.2863,0.8273
door,-0.8367001,0.0164
party,-0.5559,0.5996
girl,-0.118,-0.0387
flower,0.7184,-0.2273
phao3,-0.2172,-0.4844
note,-0.3547,0.5883
boysit5,0.3043,0.0523
pizza,-0.9042999,-0.675
tree,-0.2594,0.016
flower2,0.2164,-0.1215
phao,-0.575,0.3703
bag,0.791,-0.0094
hat3,0.7762,-0.5684
airplane,0.1133,0.4602
decor,0.6582,0.4328
plant,-0.8918,-0.8688
