name,x,y
House2,0.7133,0.4112
tree1,-0.8255,-0.1224
seward,-0.6383,-0.8648
airplane,0.0143,-0.1612
guess,-0.1827,0.0459
bike,0.5969,-0.7112
Bench1,-0.5796,-0.2872
lamp,-0.8974,0.4571
bench 2,0.5592,-0.2755
diver,0.3408,0.7474
mansit,0.5429,-0.2311
streetsign,-0.3816,-0.1602
wood_work,0.3531,-0.4699
bush2,0.2929,0.3791
cloud2,-0.7587,0.8745
boywalk,-0.0413,0.3964
tree (2),0.7878,-0.0378
flower_reuse,-0.2168,-0.2964
walk_people,0.2592,-0.0306
trashcan,0.3077,-0.3031
boat,-0.527,0.1969
plane1,0.7526,0.8837
bycicle,-0.6031,0.5117
car_21,-0.7378,-0.5469
fish,0.0362,0.1296
pigeon,-0.5286,-0.1633
tree,-0.1429,0.65
Bird,-0.3827,0.8745
kite,-0.2862,0.6189
car,-0.1158,-0.6673
