name,x,y
people1,-0.0293,0.1074
light2,0.8325,-0.7095
drum1,-0.6284,-0.0073
fireworks2,0.0947,0.6758
calendar_reuse,-0.5146,-0.5303
light1,0.5835,0.4229
baloon1,-0.8628,-0.0718
light5,0.1714,-0.1699
lan1,-0.3696,-0.0244
tree1,-0.8921,-0.6123
people7,0.7275,-0.3535
people6,0.4497,-0.3379
money5,-0.4868,-0.7266
money1,-0.1694,-0.3945
flower1,0.1279,0.4341
banner3,-0.8198,0.2158
banner2,-0.6377,0.687
people3,-0.7617,0.439
flower2,0.2744,-0.7944
fireworks1,0.0737,0.8833
present4,-0.1855,-0.6885
table1,0.5811,-0.4355
fireworks3,0.3501,0.7832
heart,-0.2998,-0.4658
beer2,0.5479,0.1138
ladder,0.002,-0.7935
present3,0.855,0.1074
cloud2,-0.2129,0.5918
people8,0.6528,0.3135
beer1,-0.5981,-0.4023
mua1,-0.397,0.4478
light4,-0.165,0.3364
cake1,0.333,-0.6401
people12,-0.3169,-0.1953
people5,0.312,-0.3438
money3,0.9199,-0.2461
glass1_reuse,0.8989,-0.8823
cupcake_reuse,-0.8691,0.7222
present1,0.8472,0.3706
present2,0.4126,-0.1045
cake2,-0.4805,-0.2739
bird1_reuse,0.5146,0.5894
light3,0.6133,-0.7876
people10,-0.6978,-0.7603
watermelon,0.605,-0.2954
moon,-0.3066,0.7944
rabbit,-0.2485,0.7764
fan,-0.373,-0.8638
money2,0.8389,-0.144
tree2,-0.8296,-0.3672
money4,0.6782,0.8662
people9,0.5098,0.3052
house,0.3862,0.0894
bird3_reuse,-0.8691,-0.7812
people11,0.0015,-0.542
banner1,-0.0571,-0.2129
dog1_reuse,0.5894,-0.6123
people2,0.1562,0.1753
cloud1,0.8501,0.6465
people4,-0.4956,0.2461
