name,x,y
tableoutside,-0.7867,-0.6125
singer,0.702,-0.316
chair,0.6344,-0.5574
photo,-0.1352,0.648
pizza,-0.1863,-0.8859
moto2,0.7379,-0.0746
chair4,0.4125,-0.2004
boywalk,0.4938,-0.8234
foodbag2,0.4621,-0.7992
plant7,-0.8043,0.6047
gecko,-0.8441,0.9293
table2,0.241,-0.1711
speaker3,0.8101999,-0.4336
lamp3,0.9172,-0.3586
staff8,-0.425,-0.5711
camera,0.1344,-0.2758
cupspoon,-0.9285,0.2516
table,0.4871,-0.5039
sign3,-0.9117001,-0.1578
mouse,0.0887,-0.9039
chairoutside4,0.0434,-0.4668
lamp4,-0.9304999,-0.7664
wine,-0.1043,0.1816
staff5,-0.109,-0.3555
door,-0.5543,-0.007
mushroom2,0.0563,0.2938
plant2,-0.3,0.6332
building1,0.4984,0.6047
pizza (2),0.2414,-0.0973
chairoutside2,-0.5512,-0.4191
ballon2,0.8773001,0.8637
lamp,-0.8047,0.8453
build1,0.3488,0.2656
man,0.3914,-0.1508
water_pole,0.1543,0.1199
towel,-0.5875,-0.0219
flag2,0.9121,0.3469
plant3,0.8895,-0.8359
roof,0.0164,0.4539
chairoutside6,-0.8441,-0.3871
build2,0.5113,0.2215
lamp2,-0.325,0.8453
girl,0.2496,-0.734
girlsit,-0.0133,-0.4219
kite,0.3078,0.6441
visitor,-0.3242,-0.3109
build3,0.6539,0.1277
bag5,0.1789,0.6426
pasta3,-0.8434,-0.523
chair3,0.0422,-0.1395
cloud,0.227,0.8449
tableoutside2,-0.1094,-0.593
dog,0.8609,-0.6406
chairoutside (2),-0.2758,-0.7328
dish,0.6891,-0.734
vase,-0.1926,-0.4793
ciaobella,-0.277,0.2969
girlbean,-0.7777,-0.3582
mushroom,0.0238,0.2
water,-0.4348,-0.9137
cooker2,-0.8113,0.1207
boysit,-0.2453,-0.6461
window,-0.559,0.8453
boy,0.0906,-0.0863
cooker,-0.3309,0.1281
wallet,0.4355,-0.6531
build4,0.7609,0.2453
boysit5,-0.6289,-0.6148
cola,-0.0488,-0.7875
salt,0.1789,-0.0137
chair2,0.2938,-0.4254
window2,-0.0367,0.7848
motogirl,0.7711,-0.0137
sign2,-0.552,0.5016
spoon,-0.2797,0.4844
bird,0.6586,0.8512
bird1,0.4137,0.8828
cat,0.0086,0.652
chairoutside,-0.5961,-0.6828
banana,0.425,0.0051
build5,0.9023,0.1719
chairoutside5,0.1035,-0.6293
paper,0.343,-0.9042999
meneat,0.3152,-0.3898
sign,-0.3656,-0.0195
umbrela2,0.7316,0.6516
plant4,-0.7066,-0.2059
ice_cream,0.4379,-0.4094
chesse,0.5488,-0.2789
cake,-0.8906,0.0477
hat,0.6527,0.4813
bow,-0.1758,0.9227
cup,-0.8019999,0.3945
treehang,0.0719,0.9066
plant,-0.8215,-0.857
fence,-0.5539,0.666
icecream2,0.5199,-0.4305
pasta,-0.4988,-0.8051001
ball,0.9351999,0.0227
cloud3,0.8773001,0.5508
