name,x,y
seawweed2,0.193,-0.9176
star4,0.2117,-0.2395
dog,0.5652,0.45
fish9,0.0223,0.4746
starfish,-0.8879,0.016
star4 (3),-0.3141,-0.3969
shell2,-0.0055,-0.9078
bottle2,0.8566,-0.7438
octopus (2),0.8668,-0.0086
cat,0.4625,0.2086
star4 (4),-0.9102,0.9078
star (2),0.9184,0.7684
rayfish,0.1973,0.0887
bubble1,-0.7223,0.1121
leaf2,-0.9137,0.209
fish8 (2),0.0414,-0.0934
drop,0.2266,-0.4824
diver2,-0.0766,0.7004
bubble3,0.175,0.6188
jellyfish,-0.1117,-0.4016
crab,-0.7461,-0.8469
shark2,-0.2062,-0.2539
shrimp,-0.3898,-0.673
apple,-0.9172,-0.373
rock4,-0.7086,0.8953
seahorse,0.3438,-0.025
treasure,-0.5016,-0.8309
coin,-0.243,-0.8663999
bubble,-0.0574,0.8453
seawweed,-0.9254,-0.8949
star4 (2),0.7539,0.6043
starfall,-0.4406,0.725
bush,0.8145,-0.8879
binoculars,0.9047,0.9148
space2,0.9047,-0.1824
fish3,0.252,-0.5668
rock3,-0.2934,-0.9344
rock6,-0.7008,-0.9288999
fish10,0.3539,0.5641
mermaid3,-0.0539,-0.809
fish7,-0.1652,-0.0973
ship_part,-0.4348,-0.2781
rock7,0.1465,-0.8227
bag2,-0.7367,-0.4059
shell3,-0.1613,-0.5426
diver3,0.5934,-0.0508
egg,0.3375,-0.6566
coral3,-0.8836001,-0.4977
plink3,0.7438,0.4258
submarine,-0.1871,0.2387
squild,0.6789,0.2207
mermaid2,-0.7961,-0.1727
bottle,-0.1746,-0.7262
leaf4,0.9097999,0.457
star2,-0.7273,0.4023
fish1,-0.4199,0.8902
fish8,-0.1996,0.4906
coral2,0.7238,-0.6078
submarine2,0.7461,-0.3199
rock,0.559,-0.8128999
star,0.5727,0.6215
coral,0.5547,-0.6707
coral4,-0.8816,-0.6535
octopus,0.8738,0.2535
fish4,-0.8453,0.3
fish9 (2),0.0492,-0.3125
diamond,-0.5012,-0.7008
ship,-0.4828,-0.4504
firework6,0.3066,0.4199
bag5,-0.2,0.9145001
starfish3,-0.7359,-0.5852
mermaid,0.4082,-0.2969
shell,0.3574,-0.8988
gold,-0.407,-0.9387
jellyfish2,0.9102,0.6434
can,0.3187,-0.7797
fish2,-0.5887,0.5352
rock2,-0.9355,-0.1445
shark,0.4145,0.8113
turle2,-0.3738,-0.0789
wood,0.0469,0.9234
bubble2 (2),0.0789,-0.4789
sword,-0.1594,-0.6312
rock2 (2),-0.8688,-0.7262
helmet,-0.6188,-0.6734
dolphin,-0.5309,0.3277
Jewery,-0.2961,-0.7879
fish6,-0.1414,0.0262
whale,-0.7484,0.5875
fish5,-0.3957,0.5746
coral5,0.1703,-0.6988
status,0.8820001,-0.5734
diver,0.1977,0.2977
bubble2,-0.3641,0.4375
turle,-0.491,0.0219
