name,x,y
mosquito 2,0.917,0.2666
plant12,-0.4722,0.0024
hippo,-0.6611,-0.5986
deer_reuse,-0.312,-0.4473
bird6_reuse,0.6895,0.0508
monkey2,0.8179,0.6699
mushroom1,0.2295,0.2964
plant6,0.4912,0.3989
cabypara1,0.6099,-0.582
ostrich,-0.478,0.3154
bug_reuse,0.6172,0.5283
fish1,0.832,0.3877
plant4,0.1987,-0.5859
honghac3_reuse,-0.8335,-0.7856
bird2_reuse,-0.479,0.6201
butterfly1,-0.1562,0.8882
sloth,0.0244,0.4434
cheetah,-0.208,0.3262
elephant_reuse,0.085,0.0566
plant8,0.8828,-0.5405
cloud1,-0.7935,0.8652
crocodile,0.5122,-0.7012
soc_reuse,0.4219,-0.064
wood1,-0.1162,-0.7715
plant11,0.2451,-0.9146
plant2,-0.7729,0.4863
bug2_reuse,0.8784,-0.1484
mole rat,0.2168,-0.3237
tiger_reuse,-0.4253,-0.1689
kangoroo,-0.333,0.1665
leaf1,-0.2192,-0.9399
fox2,-0.397,-0.6519
worm2,-0.7139,0.7397
fox,-0.853,0.27
mushroom2,0.3013,0.2266
deer1,0.7534,-0.3003
plant3,0.0273,0.4873
apple1,-0.2188,0.6846
sun,-0.4429,0.8462
birdnet_reuse,0.0371,0.7466
plant1,-0.7471,-0.0366
frog1,0.1973,-0.5142
worm1,0.749,0.1719
turtle1,-0.5776,-0.5181
lion,0.4927,0.8711
crab,0.9219,0.46
hedgehog,0.1367,-0.1655
monkey1,0.8378906,-0.771
bosat2_reuse,-0.8398,0.0415
stick1,0.688,0.8579
capybara2,-0.0337,-0.6455
bird_reuse,0.2559,0.748
fish2,0.416,-0.8936
banana1,0.6758,0.3589
rabbit1,-0.2368,-0.6543
binocular,0.5562,0.6772
spider1,-0.7007,-0.2842
mosquito,-0.2744,0.5249
bag1,0.375,-0.2383
plant10,0.6152,-0.8765
rabbit2,-0.4004,-0.7935
plant9,-0.1045,0.4658
plant5,0.3633,0.5874
leaf1 (2),0.5005,-0.3955
bird1,-0.6411,0.1392
bee2,-0.9116,0.7305
beecave_reuse,-0.8975,0.4624
bat1,0.9053,0.0513
giraffe,-0.0898,-0.167
scorpion,0.2578,0.4453
plant7,-0.7139,-0.8638
cloud2,0.0889,0.8804
girl1,0.522,0.2207
snake,-0.8774,-0.2456
bee1,0.877,0.894
