name,x,y
firework2,-0.3523,0.7984
buoy6,0.7465,-0.8574001
slide2,0.0098,0.1426
tree2,-0.7223,0.1363
airplane,0.6398,0.507
cloud,-0.8644999,0.8363
money,0.052,0.5188
banana,0.6875,0.766
bag4,-0.4918,0.6984
man,-0.6562,-0.0328
bucket,-0.1383,-0.0605
ballon3,0.1066,0.6875
drink,0.257,0.523
shoes4,-0.3758,0.3922
surf,0.5332,-0.5742
dragonfly2,0.2637,0.6406
glass2,-0.1328,0.032
sun,-0.7004,0.9125
bird (2),-0.8648,0.641
mouse,0.7043,-0.5617
chair,-0.8391,-0.8026999
glasses,0.9176,-0.9254
note2,-0.9,0.4496
shoes2,-0.0426,-0.8863
bubble3,-0.6219,-0.6492
umbrela,0.327,0.1547
note,0.1539,0.3453
duck,0.0297,-0.5711
kid2,0.7562,-0.7965
girl5,0.4727,-0.1531
buoy4,-0.5887,-0.4141
towel,-0.9375,0.1422
chuottui,-0.9129,0.3082
girl2,0.2188,-0.3316
girl4,0.2297,-0.0164
slide5,0.7273,-0.1758
decor3,-0.1785,0.5059
octopus,-0.2277,-0.3797
ice_cream,-0.5094,-0.0859
livesaver,-0.7711,-0.6973
slide3,-0.2934,0.1289
shorts,-0.3754,-0.5969
buoy,0.3836,-0.3129
shoes,0.7848,-0.0215
hotdog,0.8766001,-0.1984
bubble1,0.3754,0.4027
girl,-0.5754,-0.3805
hat,0.0098,0.4066
suncream,0.9176,-0.0535
star,-0.0516,0.2785
chair2,0.4195,0.0516
ball,0.0789,-0.7211
duck2,0.9172,-0.4379
ball4,-0.4648,-0.1953
phone,0.7277,-0.1266
hotair_ballon2,0.5496,0.875
bubble2,-0.6453,0.5609
ballon2,0.9042999,0.7867
orange,0.3309,-0.0891
teamilk,0.6234,-0.123
buoy2,0.4715,-0.8026999
cloud3,0.7562,0.9227
glass,-0.3832,0.148
slide,-0.8297,-0.1336
ball2,0.8895,-0.6363
tree3,-0.7906,0.2176
kite,-0.6332,0.7414
decor,0.5145,0.6445
honghac3,0.234,-0.841
towel2,0.4145,0.0031
leaf5,0.2215,-0.4871
butterfly,-0.1203,0.7289
umbrela2,-0.4617,0.1359
bird,0.5117,0.2133
apple,-0.1195,-0.2098
flag,-0.6184,0.3469
fish1,-0.5332,-0.9301001
starfish,0.3957,0.7488
cloud2,-0.4898,0.9125
kid5,-0.2539,-0.807
bow,0.8281,0.5891
water_gun,0.0219,-0.4262
airplane (2),-0.1934,0.9246
kid4,-0.8613,-0.4215
kid,-0.2984,-0.0238
swimmer,0.2617,-0.6293
boy2,0.0305,-0.1469
boy,0.5441,-0.3898
kid3,0.7937,-0.368
shoes3,0.552,0.3859
bottle2,-0.4781,-0.7871
watergun2,-0.1211,-0.6297
ballon,0.1961,0.8988
surf2,0.5969,0.098
tree,0.7641,0.1715
spoon,0.95,-0.1629
