name,x,y
soldier5,-0.8598,-0.4281
laban,-0.2109,-0.007
target2,0.8465,0.0625
soldierbinocular,-0.3551,0.4094
boy,-0.6555,-0.8352
wirefence,0.8038999,-0.7102
smallbuild3,0.216,0.1672
choi2,0.4316,0.243
tyre2,0.7973,-0.0695
bird3,0.5027,-0.2309
bird2,-0.2055,0.5863
soldierair,0.8316,0.393
soldier6 (2),0.1582,-0.3848
boom,-0.434,-0.1434
trashcan_reuse,0.9336001,-0.5387
sign,0.4492,-0.7965
barrel2,-0.2766,-0.2469
boom3,0.6824,-0.0988
choi,0.0551,0.1609
soldier4,-0.534,-0.302
sandbag3,0.6473,-0.6742
smallbuild,0.1828,0.0961
walkie (2),-0.7453,-0.2805
bush,0.2336,-0.9168
flag,-0.5938,0.1969
backpack,-0.4465,-0.7645
brush2,-0.2707,-0.8883001
banana,-0.3,-0.1738
soldier2,0.0434,-0.0316
army,-0.4184,0.1859
cloud2,0.8293,0.7199
tree2,0.659,0.1359
barrel (2),-0.5336,-0.8812
airplane2,-0.7625,0.8934
tent2,-0.5512,0.0262
drop (2),-0.6418,0.5652
sandbag2,0.9215,-0.757
soldier6,0.3418,-0.6078
helmet,0.1789,-0.1566
box,0.5574,-0.0469
soldier7,0.0293,-0.302
snail,-0.4105,-0.4938
soldier3 (2),-0.0801,-0.091
tree,-0.7977,0.2363
bird1,0.298,0.9164001
bag2,-0.6687,-0.0547
brush,-0.8363,0.052
brush3,0.7051,-0.0113
tent4,0.6469,-0.4781
box1,-0.8633,-0.8629
soldier1,0.3168,-0.3082
cloud,-0.8637,0.6551
bee,-0.8996,0.468
heli,0.6109,0.8633
tyre,0.9121,-0.0566
airplane,-0.3242,0.7887
sandbag,0.9055001,-0.8477
target3,0.668,0.084
target,0.7516,0.0625
drop,0.5496,0.5035
dog,0.1992,-0.0055
glasses,0.7051,-0.373
drink,-0.7191,-0.6898
bullet,0.4934,-0.0547
barrel,-0.3398,-0.718
car,-0.066,-0.6066
sun,-0.0203,0.8777
flysoldider,0.2965,0.5793
tank,0.7844,-0.2277
car2,-0.7812,-0.1617
medibag,-0.3539,-0.0578
drop2,0.05,0.4652
fence,0.0773,-0.8823999
chuottui,-0.0723,-0.8698999
smallbuild2,0.3266,0.0961
box2,-0.8633,-0.7613
walkie,0.8788999,-0.3852
tent,-0.1035,0.0727
bullet2,0.7973,0.0039
soldier3,-0.5746,-0.616
apple,-0.8988,-0.6668
boom2,0.5828,0.0672
mushroom3,-0.8300999,0.1391
flag2,0.1184,0.2637
wire,0.466,0.0898
bird2 (2),0.1625,0.777
tree3,0.9254,0.141
snake2,-0.9078,-0.0367
cloud3,-0.5758,0.7809
soldiergun,0.3684,-0.0547
bagairplane,0.5516,0.7566
dragonfly,0.5723,0.3008
