name,x,y
bear,0.573,-0.5766
box6,0.8078,-0.6051
tree2,0.6426,-0.8648
boy3,-0.2578,0.0238
wheel,0.118,0.0246
kid,-0.5672,0.0625
grandma,0.0012,-0.8465
cat,0.3918,-0.8168
plink3,-0.6383,0.2508
hotair_ballon2,0.7191,0.6562
bowling2,0.6176,0.3496
ticket_box,-0.8902,-0.4566
wheel2,0.1359,0.7816
lamp5,-0.5457,0.7273
hotair_ballon,0.8293,0.8172
brid7,-0.8602,0.7156
girl2,0.4047,0.2387
clown,0.4699,-0.1613
leaf,-0.8578,-0.8934
boy,-0.1191,-0.5066
tree3,-0.6047,-0.943
dog_reuse,0.4043,0.0234
drum,-0.2629,-0.3695
phone,-0.9323999,0.2227
cleanser,0.8906,-0.3492
ticket_box2,-0.1695,0.7754
decor,-0.8715,0.8773001
chair4,-0.8598,-0.2164
popcorn2,0.6828,0.1965
drummer2,0.2801,0.4832
flag,-0.7402,-0.8168
ballon (2),0.068,0.5809
staff,-0.3773,-0.6008
ball2,0.6582,-0.1754
banana,-0.15,0.073
girl (2),-0.2352,-0.2398
phao,0.3371,0.9078
mask,0.5773,0.8363
chuottui,-0.6566,-0.8520001
girl,0.0281,-0.4035
flower,0.8073999,0.6012
seller,-0.7172,-0.5156
popcorn,0.8726999,0.4398
girl3,0.3574,-0.491
seller2,0.8354999,0.0082
canon,0.0027,0.3297
ball4,-0.0938,-0.282
sign,0.1535,0.8582
wallet,-0.3902,0.6695
kid (2),-0.6535,-0.2559
girl6,-0.1785,0.2199
flag2,-0.0703,0.4832
icecream,0.5258,0.6215
ball,-0.3781,0.0445
student,-0.8479999,-0.2168
cirletable3,-0.7102,-0.0742
bowling3,0.7188,0.4031
plant2,-0.4484,-0.0824
clown2,0.1566,-0.6668
plant3,-0.3074,0.8242
horse,-0.3918,0.257
man,0.2254,-0.2938
star,0.118,0.452
bag,-0.4828,-0.8352
rabbit,-0.7188,0.3746
chair5,0.8293,-0.8594
ballon,0.45,0.8766001
bush2,0.9102,0.6605
icecream (2),0.2199,0.298
flower3,-0.7203,0.6117
lemonbox,-0.8773001,0.0707
seal,-0.4801,-0.3
leaf3,-0.9543,-0.9191
teamilk,-0.6836,0.0316
can,-0.3453,-0.832
bowling,0.5145,0.348
plink2,-0.1832,0.493
trashcan_reuse,-0.8492001,0.5512
ball3,-0.3855,-0.1742
ticket,-0.225,0.3902
butterfly,-0.1109,-0.082
tree,-0.8925999,-0.6859
decor3,-0.1043,0.9137
bag2,0.6961,-0.3336
ballon_sell,-0.5754,-0.5648
banner,-0.3461,0.5105
money,0.2629,0.1648
flag3,0.866,-0.2504
ballon2,0.8113,0.1887
ribbon,-0.1785,0.6117
elephant,0.6223,0.0379
apple2,-0.6254,-0.5895
decor2,-0.8863,0.4418
trashcan2,0.9097999,0.1895
water,0.223,-0.9191
lion,-0.1773,-0.7957
umbrela,-0.707,0.857
