name,x,y
table,0.241,0.2535
sofa3,-0.4527,-0.0172
barery,-0.798,0.8367001
plant5,0.875,0.0625
wallet,0.5055,0.3875
sofa (2),-0.0832,0.0535
sidetable2,0.4324,-0.8108999
girl4,-0.7543,-0.8094
sofaback,-0.532,-0.484
bread,-0.7246,0.6328
sidechair,0.5656,-0.5574
bread7,0.4359,-0.2367
boy3,0.4473,0.0336
lamp5,0.9047,0.8793
squaretable,0.6223,0.2055
table2,-0.7199,0.2105
paper,-0.6473,-0.0605
visitor2,0.7035,-0.0031
bigsofa,0.7977,0.3512
cake,0.584,0.2832
cirletable3,-0.5996,-0.2715
sofa,-0.8644999,-0.2023
boy,0.5859,-0.4605
boywalk,-0.3328,0.3141
glover,0.2211,0.4926
mat,-0.2863,-0.8688
plant,-0.9059,-0.4352
kid2,0.0785,0.5781
bread3,-0.5984,-0.1766
man,0.8008,0.3719
cirletable,-0.2371,-0.134
bread9,0.3434,-0.7793
cupcake,0.259,0.7863
jam2,-0.1082,0.343
girl7,0.2125,0.0156
sidechair2,0.7469,-0.4395
flower2,0.4703,-0.6715
self2,-0.127,0.8289
lamp4,0.4156,0.9039
cake (2),0.3238,0.3363
self1,-0.3027,0.7461
girl,0.684,-0.2555
candy_box,0.875,-0.182
cookie2,0.6184,-0.2184
sidetable,0.7652,-0.5984
flour,-0.1543,0.8715
sidechair3,0.3469,-0.6629
table4,-0.191,0.5371
flower3,-0.9074,-0.8398
foodbag2,-0.3645,0.3383
girl6,-0.1688,0.0891
window,0.7625,0.7625
tree,-0.4625,0.7828
sofaback2,-0.1883,-0.2887
baker,-0.7984,0.398
perfume,-0.2836,0.8038999
foodbag,-0.0801,-0.5473
cash,-0.573,0.3387
mop,0.698,0.5848
bread4,0.7266,-0.5641
roll2,0.8277,-0.4895
trashcan2,0.7262,-0.816
cupspoon,-0.1043,0.6867
girl3,-0.5727,0.1437
cola,-0.5043,-0.6883
bow,-0.4766,0.9086
cat,0.218,-0.3219
cake5,0.3773,0.7121
boysit5,-0.6117,-0.4016
vase,-0.4504,0.4949
cake5 (2),0.1605,0.3844
manwalk,-0.3094,-0.5773
girl2,0.0066,-0.2301
cleanser,0.5965,0.6875
girl5,-0.0152,-0.5988
boy4,-0.7945,-0.1613
cake2,-0.2699,-0.0402
bread8,-0.7812,0.2391
mouse,0.5793,-0.9094
bake,-0.7078,-0.5988
treehang2,0.0605,0.8979999
shield,-0.759,0.6488
camera,0.0406,-0.8953
sugar,-0.0914,0.8938
umbrela,0.1152,0.7371
table3,0.3359,0.6703
sign,-0.8347999,0.1887
face,0.5605,0.4813
spoon,-0.0125,0.3824
cookie,0.7742,0.1586
cupcake2,-0.2191,0.6281
roll,0.2125,-0.6309
bread2,-0.6148,0.6754
hat,0.8996,-0.3469
tool2,-0.5629,0.5492
girlsit2,-0.3848,0.0141
plant3,0.8918,-0.8004
