name,x,y
tomb,0.1743,0.8784
shack,0.126,0.5918
street_sign_1,-0.5151,0.7754
guard_1,0.1909,0.4058
anubis,0.3374,0.666
oasis,0.7617,0.8066
pyramid,0.6338,0.4907
debris,-0.7632,0.5166
guard_2,0.606,0.2222
building,-0.8604,0.8472
camel_guy,-0.1919,0.4858
crane,-0.8174,0.7227
monolith,0.8052,-0.3667
flower,0.8452,-0.1055
plant_pod,0.0337,0.7227
tree_1,-0.3335,0.9140625
sphynx,-0.0879,0.7964
bush_1,-0.397,-0.3179
cactus_1,-0.6519,-0.0386
small_sign,-0.5146,-0.2158
vase,-0.543,-0.1147
palm_tree,0.5356,-0.5884
cartwheel,0.0005,-0.4521
street_sign_2,-0.3125,-0.438
bush_2,0.1255,-0.3691
bush_3,-0.1836,0.0767
cactus_2,0.4644,0.8418
running_man,-0.4731,0.5156
mummy,-0.6621,0.6597
professor,-0.7847,0.125
hippo,0.2915,-0.4102
monolith_2,-0.1636,-0.4468
bird_statue,0.2905,-0.8071
crocodile,0.8296,-0.7881
bush_4,0.8281,-0.8672
monolith_3,-0.6519,0.2373
small_bush_1,-0.0293,0.0142
cactus_3,-0.0713,0.1289
twig,0.1421,-0.0918
lily_pads,0.6929,-0.6245
bones,0.2051,-0.6069
fan,-0.3496,0.4106
big_tree,-0.7490234,-0.6396484
merchant,-0.251,0.2734
queen_statue,0.3784,0.041
street_sign_3,0.0815,0.2588
cactus_4,-0.6045,-0.8291
shop_stall,0.7983,0.2305
pot_2,0.6621,-0.2734
palm_tree_2,-0.4146,-0.0312
viewer,0.5566,-0.0996
bridge,-0.1089,-0.2026
rock,-0.0298,-0.6919
photographer,-0.4146,-0.7861
snake,-0.5806,-0.5806
big_bush,-0.8257,-0.9092
tourist,-0.7939,-0.1675
