name,x,y
boysit5 (3),-18,61
girl6 (2),-18.5,31.4
bigtable,-45,-11
sofa2,-69,8
sofa,72,-32
chair7,-44,52
umbrela,14.8,61
board2,-76,-6
window,58,170
plant4,6.5,-57.3
table,-86,5.5
hangchair,-66,-19
glassboy,-8,18
swing,-5,-89
plant (2),33.5,-72.3
workbox,-105,61
chair,56,60
smallboard,40,42
closet,38,98
grisit6,46,20
sofa3,-82,34
swing2,-4,-59
board3,-11,40
board4,103,133
clock,27,-29
chair5,2,-67
girlsit4,-43,1
cat,-5,8
calender,34,-22
teacop,12,-21
swing3,43,-101
boss,31,23
lamp,-31,95
tennisboy,35,31
chair4,39.8,2
